N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
296,JOSE MESA Y LOPEZ (LAS PALMAS),,,
632,CC TAVIRA GRAN PLAZA,,,
767,CC GRAN RENO (CASALECCHIO DI RENO),,,
768,LIVORNO VIA GRANDE,,,
298,ARENAS DE BARCELONA (BARCELONA),,,
633,CC LA VIE (MADEIRA),,,
1103,CC SHOP IN HOUSSEN (COLMAR),,,
769,CC BARI BLU (TRIGGIANO),,,
771,CC ANTEGNATE (BERGAMO),,,
772,STAZIONE PORTA NUOVA,,,
773,CC GRAN SASSO,,,
774,CC OLBIA A MARE,,,
775,CC NEAPOLIS (NEAPOLIS),,,
305,CC CARREFOUR TORREVIEJA,,,
306,CALLE PRINCESA (MADRID),,,
309,CC LA DEHESA,,,
312,CC CARREFOUR  SAN JUAN (INSP),,,
313,CC CARREFOUR FINESTRAT (INSP),,,
314,CC ZARAICHE,,,
315,CC CARREFOUR GRAN VÍA (INSP),,,
316,TELDE,,,
317,CC TORRELAVEGA,,,
319,CC LA ZENIA BOULEVARD,,,
2001,Centro Comercial Santa Fe,,,
2002,Paseo Interlomas,,,
2003,Forum Buenavista,,,
2004,Forum Culiacán,,,
2005,Explanada Culiacán,,,
2007,Paseo Querétaro,,,
2008,Explanada Puebla,,,
2006,Antea Querétaro,,,
2009,Parque Toreo,,,
2011,Via Alta Salamanca,,,
2012,Mundo E,,,
2013,Galerías Perinorte,,,
2014,Parque Lindavista,,,
2015,Galerías Atizapan,,,
2021,Altacia Leon,,,
2028,Galerías Monterrey,,,
2029,Galerías San Juan del Río,,,
2031,Galerías Tabasco,,,
2016,La Isla Mérida,,,
2017,Plaza Puerto Paraíso Los Cabos,,,
2018,Cancún Mall,,,
2019,Gran Plaza Cancún,,,
2022,Galerías Mall Sonora,,,
2023,Patio Saltillo,,,
2024,La Isla Acapulco,,,
2025,Marina Puerto Cancún,,,
2026,Americas Mérida,,,
2027,Ambar Tuxtla,,,
2032,Galerías Campeche,,,
2033,Américas Cancun - Malecón,,,
2034,Parque Antenas,,,
2035,Real Reynosa,,,
2036,Cosmopol,,,
2037,Plaza Satelite,,,
2038,Reforma 222,,,
2039,Americas Playa del Carmen,,,
2041,Plaza Atrios Cuautla,,,
2042,Town Square Metepec,,,
321,CALLE LOIOLA 13 (SAN SEBASTIAN),,,
2049,5TA Avenida Playa del Carmen,,,
2043,Macroplaza del Valle,,,
2044,Forum Coatzacoalcos,,,
2045,Via Vallejo,,,
2046,Americas Chetumal,,,
2047,Cumbres Monterrey,,,
2048,Patio Lincoln,,,
2051,Patio Matamoros,,,
2052,Patio Los Cabos,,,
776,CC RESCALDINA (RESCALDINA),,,
777,CC GRANROMA (ROMA),,,
322,CC SANT BOI,,,
782,CC LEONE (LONATO),,,
783,CC TIBURTINO,,,
779,CC PORTE DI MESTRE,,,
634,CC ARMAZENS DO CHIADO,,,
635,CC W SHOPPING,,,
326,MATARO CALLE,,,
784,CC CARREFOUR PAVIA,,,
781,CC BARI SANTA CATERINA,,,
2117,Luna Parc,,,
637,RUA 19 ESPINHO,,,
638,COIMBRA FERREIRA BORGES,,,
323,SAN QUIRZE,,,
636,CC PALACIO DO GELO VISEU,,,
1105,CC SHOP IN PACÉ - RENNES,,,
785,CC LE CORTI VENETE (VERONA),,,
787,RONCADELLE CC ELNOS,,,
778,CC MOLINETTO,,,
325,CC MIRADOR BURGOS,,,
2055,Multiplaza Aragón,,,
2066,Chedraui Polanco,,,
2061,Altabrisa Merida,,,
2062,Altabrisa Villahermosa,,,
2054,Patio Querétaro,,,
2053,Fashion Mall Chihuahua,,,
2059,Península Tijuana,,,
2078,PLAZA SAN LUIS POTOSI,,,
789,CC CUORE ADRIATICO,,,
1116,CC BAY 2 - COLLEGIEN,,,
324,OPEN MALL,,,
791,CC LE PORTE FRANCHE,,,
794,CC LA GRANDE MELA,,,
792,VILLESSE CC TIARÉ,,,
2058,Las Tiendas de Cancún,,,
2074,Parque Tepeyac,,,
2075,Cetram El Rosario,,,
2102,Aeropuerto Terminal 1 puerta 4,,,
2057,Gran Terraza Belenes,,,
793,AIRPORT TORINO,,,
795,CC CENTRO SARCA,,,
328,CC LA BALLENA,,,
1104,CC GALERIE NACARAT - CLERMONT,,,
2073,Americas Ecatepec,,,
796,CC I LAGHI,,,
797,CC BENNET PRADAMANO,,,
7103,MELILLI CC BELVEDERE,,,
798,LATINA CC LATINA FIORI,,,
2079,Americas Xalapa,,,
7102,CC LE FORNACI,,,
7106,CC IL GIRASOLE,,,
1106,CC CORA CORMONTREUIL - REIMS,,,
1107,CC RIVETOILLE - STRASBOURG,,,
2077,Chedraui Tulum,,,
2064,Fiesta San Agustin Monterrey,,,
2063,Plaza Krystal Veracruz,,,
786,STAZIONE FIRENZE SOTTOPASSO,,,
7108,JESOLO VIA BAFILE 2,,,
7109,MERANO CC ALGO,,,
2065,FIESTA ANAHUAC MONTERREY,,,
2056,MULTIPLAZA LAS PALMAS,,,
7112,CC LA FATTORIA,,,
7105,Roma CC Roma EST,,,
7113,Ravenna Via Cavour 31,,,
329,Bravo Murillo,,,
3054,FABRA I PUIG,,,
331,VIA JAUME (GIRONA),,,
7116,Vibo Valentia CC Vibo Center,,,
7107,GRAVINA DI CATANIA CC KATANE,,,
7115,PORTO SANT`ELPIDIO CC LE ANCORE,,,
7104,MOLFETTA CC GRANSHOPPING MONGOLFIERA,,,
7111,CARINI CC POSEIDON,,,
7101,Torino Via Garibaldi,,,
7114,ANCONA CC CONERO,,,
1111,CC LES ATLANTES - TOURS,,,
1112,CC MERIADECK - BORDEAUX,,,
1117,CC GRAND A - AMIENS,,,
2999,WEB MÉXICO,,,
2071,Paseo Gomez Palacio,,,
2072,Paseo Central Chihuahua,,,
2069,El Dorado Veracruz,,,
332,VILANOVA RAMBLA PRINCIPAL,,,
1118,STRASBOURG LES HALLES,,,
1114,CC LA FEUILLERAIE - PERIGUEAUX,,,
1113,CC ESPACE SAINT QUENTIN,,,
7117,CAGLIARI CC LE VELE,,,
2067,Paseo Los Mochis,,,
1123,CC FENOUILLET,,,
1124,CC BAB2 - BAYONNE,,,
639,CC ARRÁBIDA,,,
641,Rua San Antonio Chaves,,,
642,CC La vie Guarda,,,
643,CC ALEGRO MONTIJO STAND,,,
644,CC ALEGRO SINTRA STAND,,,
646,CC MARSHOPPING MATOSINHOS,,,
647,CC FORUM COIMBRA,,,
648,CC FORUM ALGARVE,,,
649,CC BRAGA PARQUE STAND,,,
651,CC FORUM AVEIRO STAND,,,
652,CC STRADA OUTLET,,,
653,CC OEIRAS PARQUE STAND,,,
655,CC AMOREIRAS STAND,,,
657,CC GUIMARES SHOPPING STAND,,,
659,CC PARQUE ATLANTICO,,,
661,CC ARRABIDA SHOPPING,,,
7124,VIA OTTAVIANO,,,
1108,CC CAP 300 - NICE,,,
334,LA MOREA PAMPLONA STAND,,,
1109,CC AVANT CAP - MARSEILLE,,,
333,CC LA ROSALEDA MALAGA,,,
7118,San Benedetto Del Tronto,,,
2103,Plaza Universidad,,,
2105,Plaza Valle Orizaba,,,
2104,Carso Tlalnepantla,,,
2076,Cancún Cobá,,,
7125,CHIVASSO CC BENNET ,,,
7126,GENOVA CC FIUMARA,,,
1115,CC QUARTIER LIBRE - PAU,,,
7127,MILANO CC BONOLA,,,
2106,Plaza Cibeles,,,
2107,Citadel Monterrey,,,
2108,Plaza Dorada Puebla,,,
2109,Forum Tlaquepaque,,,
2111,Galerias Guadalajara,,,
2112,Americas Veracruz,,,
7123,CC MERIDIANA (LECCO),,,
7128,GROSETTO CC MAREMA,,,
2113,Gran Plaza Guadalajara,,,
2114,Las Misiones Chihuahua,,,
339,CC PS2,,,
7122,VIA XX SETTEMBRE,,,
337,CALLE ERCILLA BILBAO,,,
341,CALLE NUEVA MÁLAGA,,,
2115,Gran Plaza Mazatlan,,,
2081,Landmark Tijuana,,,
2082,The Park San Luis Potosí,,,
2068,City Center Leon,,,
2118,Averanda cuernavaca,,,
2119,Paseo Monclova,,,
2121,Americas Villahermosa,,,
2122,Parque Tezontle,,,
2123,La Cuspide,,,
2124,Galerias Serdan,,,
2125,Galerias Santa Anita,,,
7119,CC LE VALLI (COMACCHIO),,,
7121,Rimini Corso D’Augusto,,,
342,CALLE REAL ESTEPONA,,,
336,CALLE DON JUAN DE AUSTRIA,,,
7132,FS NAPOLI STAZIONE CENTRALE,,,
7133,PORTA NUOVA VERONA,,,
7134,CC CAMPANIA (MARCIANISE),,,
335,CC RIO SHOPPING VALLADOLID,,,
344,CALLE SINDICATO PALMA DE MALLORCA,,,
1122,CC POLYGONE - BÉZIERS,,,
1125,RUE DE RENNES - PARIS,,,
7137,CC MONTEBELLO,,,
7138,CC CREMONA 2,,,
662,CC CIUDAD DE OPORTO,,,
343,CALLE GUIMERA MANRESA,,,
7131,VIA TRINCHESE (LECCE),,,
7135,VIALE DANTE 27 (RICCIONE),,,
7136,DESENZANO DEL GARDA CC LE VELE,,,
665,MIRA MAIA,,,
1133,PLACE DE ARC (ORLEANS),,,
17940,ALMACEN APLHA - RFID - LCDLC,,,
1126,BELLE EPINE,,,
1131,CC AUSHOPPING ST QUENTIN,,,
2126,Town Center Zumpango,,,
2127,Town Center El Rosario,,,
2116,Parque Puebla,,,
1135,LYON PART DIEU,,,
1128,CC MERIGNAC SOLEIL,,,
1137,CC TOULON MAYOL,,,
1127,CC HEROUVILLE,,,
2128,Galerias Vallarta,,,
2133,Cuatro Caminos Torreon,,,
2135,Zentralia Cd del Carmen,,,
347,CALLE ESGLESIA CALELLA,,,
7139,TARANTO VIA D`AQUINO,,,
7129,CC METROPOLIS RENDE,,,
345,VILAGARCIA DE AROUSA,,,
663,CC COLOMBO (PORTUGAL),,,
1132,VILLANUEVE D´ASQC V2,,,
664,CC GAIA SHOPPING,,,
669,CC FORUM CASTELO BRANCO,,,
338,CC PARQUE CORREDOR,,,
1141,RIVES D´ARCINS BEGLES,,,
1144,CARRE SÈNART,,,
1145,TOISON D´OR DIJON,,,
1147,AEROVILLE,,,
1129,CC QWARTZ,,,
308,CALLE HERRADORES,,,
7141,REGGIO EMILIA,,,
7142,REGGIO CALABRIA,,,
7143,COSENZA VIA MAZZINI,,,
7145,VARESE VIA ALDO MORO,,,
2134,Outlet Riviera Maya,,,
2138,Outlet Lerma,,,
2139,Galerias Boulevard Tuxtla,,,
1146,CC ROSNY 2,,,
666,CC Marshopping (Algarve),,,
2136,Altaria Aguascalientes,,,
2137,Altama Tampico,,,
2129,Chedraui Cuautla,,,
1164,MONTPELLIER ODYSSEUM,,,
1165,VILLIERS EN BIERE,,,
1166,POITIERS CORDELIERS,,,
1149,ETREMBIERES,,,
1138,LORIENT LANESTER,,,
1119,CLERMONT JAUDE,,,
7144,CHIETI CC MEGALO,,,
2099,Tienda Escuela CEDIS,,,
346,MEGAPARK OUTLET BARAKALDO,,,
348,METROMAR MAIRENA DE ALJARAFE,,,
671,TORRESHOPPING STAND,,,
2141,Galerias Pachuca,,,
2142,Gran Terraza Coapa,,,
2143,Gran Sur,,,
2144,Metropoli Patriotismo,,,
667,SPACIO SHOPPING,,,
2145,Forum Tepic,,,
